modelId, modelName, jpeg_bits, jpeg_wide, jpeg_high, jpeg_comp, slices[0], slices[1], slices[2], jpeg_hsf, jpeg_vsf, sensorLeftBorder, sensorTopBorder, sensorBottomBorder, sensorRightBorder,blackMaskLeftBorder,blackMasktopBorder,blackMaskBottomBorder,blackMaskRightBorder, imageWidth, imageHeight, vShift
0x80000215, Canon EOS-1Ds Mark III, 15, 2808, 1872, 3, 3, 1440, 1296, 2, 1, 12, 7, 2795, 1862, 0, 0, 0, 0, 2784, 1856, 0
0x80000261, Canon EOS 50D, 15, 3344, 2178, 3, 7, 1254, 1254, 2, 2, 0, 0, 3266, 2177, 0, 0, 0, 0, 3267, 2178, 0
0x80000261, Canon EOS 50D, 15, 2376, 1584, 3, 3, 1440, 432, 2, 1, 0, 0, 2375, 1583, 0, 0, 0, 0, 2376, 1584, 0
0x80000218, Canon EOS 5D Mark II, 15, 3872, 2574, 3, 10, 1056, 1056, 2, 2, 0, 0, 3860, 2573, 0, 0, 0, 0, 3861, 2574, 0
0x80000218, Canon EOS 5D Mark II, 15, 2808, 1872, 3, 3, 1440, 1296, 2, 1, 12, 8, 2795, 1863, 0, 0, 0, 0, 2784, 1856, 0
0x80000250, Canon EOS 7D, 15, 2592, 1728, 3, 5, 864, 864, 2, 1, 0, 0, 2591, 1727, 0, 0, 0, 0, 2592, 1728, 0
0x80000250, Canon EOS 7D, 15, 3888, 2592, 3, 8, 1296, 1296, 2, 2, 0, 0, 3887, 2591, 0, 0, 0, 0, 3888, 2592, 0
0x80000281, Canon EOS-1D Mark IV, 15, 3672, 2448, 3, 8, 1224, 1224, 2, 2, 0, 0, 3671, 2447, 0, 0, 0, 0, 3672, 2448, 0
0x80000281, Canon EOS-1D Mark IV, 15, 2448, 1632, 3, 5, 816, 816, 2, 1, 0, 0, 2447, 1631, 0, 0, 0, 0, 2448, 1632, 0
0x80000287, Canon EOS 60D, 15, 3888, 2592, 3, 8, 1296, 1296, 2, 2, 0, 0, 3887, 2591, 0, 0, 0, 0, 3888, 2592, 0
0x80000287, Canon EOS 60D, 15, 2592, 1728, 3, 5, 864, 864, 2, 1, 0, 0, 2591, 1727, 0, 0, 0, 0, 2592, 1728, 0
0x80000269, Canon EOS-1D X, 15, 3888, 2592, 3, 5, 1944, 1944, 2, 2, 0, 0, 3887, 2591, 0, 0, 0, 0, 3888, 2592, 0
0x80000269, Canon EOS-1D X, 15, 2592, 1728, 3, 3, 1296, 1296, 2, 1, 0, 0, 2591, 1727, 0, 0, 0, 0, 2592, 1728, 0
0x80000285, Canon EOS 5D Mark III, 15, 3960, 2640, 3, 5, 1980, 1980, 2, 2, 0, 0, 3959, 2639, 0, 0, 0, 0, 3960, 2640, 0
0x80000285, Canon EOS 5D Mark III, 15, 2880, 1920, 3, 3, 1440, 1440, 2, 1, 0, 0, 2879, 1919, 0, 0, 0, 0, 2880, 1920, 0
0x80000302, Canon EOS 6D, 15, 2736, 4104, 3, 5, 2052, 2052, 2, 2, 0, 0, 4103, 2735, 0, 0, 0, 0, 4104, 2736, 0
0x80000302, Canon EOS 6D, 15, 2736, 1824, 3, 3, 1368, 1368, 2, 1, 0, 0, 2735, 1823, 0, 0, 0, 0, 2736, 1824, 0
0x80000325, Canon EOS 70D, 15, 2736, 4104, 3, 5, 2052, 2052, 2, 2, 0, 0, 4103, 2735, 0, 0, 0, 0, 4104, 2736, 0
0x80000325, Canon EOS 70D, 15, 2736, 1824, 3, 3, 1368, 1368, 2, 1, 0, 0, 2735, 1823, 0, 0, 0, 0, 2736, 1824, 0
0x80000289, Canon EOS 7D Mark II, 15, 2736, 4104, 3, 5, 2052, 2052, 2, 2, 0, 0, 4103, 2735, 0, 0, 0, 0, 4104, 2736, 0
0x80000289, Canon EOS 7D Mark II, 15, 2736, 1824, 3, 3, 1368, 1368, 2, 1, 0, 0, 2735, 1823, 0, 0, 0, 0, 2736, 1824, 0
