0x80000301r, Canon EOS REBEL T4i, 2047 2047 2047 2047, 15000, 0.6602 -0.0841 -0.0939 -0.4472 1.2458 0.2247 -0.0975 0.2039 0.6148
0x80000331r, Canon EOS M, 2047 2047 2047 2047, 15000, 0.6602 -0.0841 -0.0939 -0.4472 1.2458 0.2247 -0.0975 0.2039 0.6148
0x03360000r, Canon PowerShot S110, 127.9140625, 4000, 0.8039 -0.2643 -0.0654 -0.3783 1.123 0.293 -0.0206 0.069 0.4194
0x03330000r, Canon PowerShot G15, 128 128 128 128, 4000, 0.7474 -0.2301 -0.0567 -0.4056 1.1456 0.2975 -0.0222 0.0716 0.4181
0x03340000r, Canon PowerShot SX50 HS, 128 128 128 128, 4000, 1.2432 -0.4753 -0.1247 -0.211 1.0691 0.1629 -0.0412 0.1623 0.4926
0x80000302r, Canon EOS 6D, 2047 2047 2048 2047, 13000, 0.7034 -0.0804 -0.1014 -0.442 1.2564 0.2058 -0.0851 0.1994 0.5758
0x80000326r, Canon EOS REBEL T5i, 2047 2047 2047 2047, 12277, 0.6602 -0.0841 -0.0939 -0.4472 1.2458 0.2247 -0.0975 0.2039 0.6148
0x80000346r, Canon EOS Kiss X7, 2048 2048 2048 2048, 11650, 0.6602 -0.0841 -0.0939 -0.4472 1.2458 0.2247 -0.0975 0.2039 0.6148
0x80000325r, Canon EOS 70D, 2049 2048 2049 2049, 11127, 0.7034 -0.0804 -0.1014 -0.442 1.2564 0.2058 -0.0851 0.1994 0.5758
0x03540000r, Canon PowerShot G16, 128 128 128 128, 4000, 0.802 -0.2687 -0.0682 -0.3704 1.1879 0.2052 -0.0965 0.1921 0.5556
0x03550000r, Canon PowerShot S120, 127.5585938, 4000, 0.6961 -0.1685 -0.0695 -0.4625 1.2945 0.1836 -0.1114 0.2152 0.5518
0x80000355r, Canon EOS M2, 2048 2048 2048 2048, 11222, 0.64 -0.048 -0.0888 -0.5294 1.3416 0.2047 -0.1296 0.2203 0.6137
0x80000327r, Canon EOS 1200D, 2046 2046 2046 2046, 12279, 0.6461 -0.0907 -0.0882 -0.43 1.2184 0.2378 -0.0819 0.1944 0.5931
0x03640000r, Canon PowerShot G1 X Mark II, 511.46875, 16000, 0.7378 -0.1255 -0.1043 -0.4088 1.2251 0.2048 -0.0876 0.1946 0.5805
0x80000289r, Canon EOS 7D Mark II, 2047 2047 2047 2047, 15100, 0.7268 -0.1082 -0.0969 -0.4186 1.1839 0.2663 -0.0825 0.2029 0.5839
0x03780000r, Canon PowerShot G7 X, 511.328125, 4000, 0.9602 -0.3823 -0.0937 -0.2984 1.1495 0.1675 -0.0407 0.1415 0.5049
0x03750000r, Canon PowerShot SX60 HS, 128 128 128 128, 4000, 1.3161 -0.5451 -0.1344 -0.1989 1.0654 0.1531 -0.0047 0.1271 0.4955
0x80000401r, Canon EOS 5DS R, 2047 2047 2047 2047, 14466, 0.625 -0.0711 -0.0808 -0.5153 1.2794 0.2636 -0.1249 0.2198 0.561
0x80000393r, Canon EOS Rebel T6i, 2047 2047 2047 2047, 11765, 0.6362 -0.0823 -0.0847 -0.4426 1.2109 0.2616 -0.0743 0.1857 0.5635
0x80000347r, Canon EOS Rebel T6s, 2047 2047 2047 2047, 11765, 0.6362 -0.0823 -0.0847 -0.4426 1.2109 0.2616 -0.0743 0.1857 0.5635
0x03740000r, Canon EOS M3, 2048 2048 2048 2048, 16000, 0.6362 -0.0823 -0.0847 -0.4426 1.2109 0.2616 -0.0743 0.1857 0.5635
0x03850000r, Canon PowerShot G3 X, 2047.90625, 16000, 0.9701 -0.3857 -0.0921 -0.3149 1.1537 0.1817 -0.0786 0.1817 0.5147
0x03840000r, Canon EOS M10, 2048 2048 2048 2048, 16000, 0.64 -0.048 -0.0888 -0.5294 1.3416 0.2047 -0.1296 0.2203 0.6137
0x03950000r, Canon PowerShot G5 X, 2049.449219, 16000, 0.9602 -0.3823 -0.0937 -0.2984 1.1495 0.1675 -0.0407 0.1415 0.5049
0x03930000r, Canon PowerShot G9 X, 2049.558594, 16000, 0.9602 -0.3823 -0.0937 -0.2984 1.1495 0.1675 -0.0407 0.1415 0.5049
0x80000350r, Canon EOS 80D, 512 512 512 512, 11892, 0.7457 -0.0671 -0.0937 -0.4849 1.2495 0.2643 -0.1213 0.2354 0.5492
0x03970000r, Canon PowerShot G7 X Mark II, 2047.875, 16000, 0.9602 -0.3823 -0.0937 -0.2984 1.1495 0.1675 -0.0407 0.1415 0.5049
0x80000328r, Canon EOS-1D X Mark II, 2048 2048 2048 2048, 14888, 0.7596 -0.0978 -0.0967 -0.4808 1.2571 0.2503 -0.1398 0.2567 0.5752
0x80000404r, Canon EOS Rebel T6, 2046 2046 2046 2046, 12279, 0.6939 -0.1016 -0.0866 -0.4428 1.2473 0.2177 -0.1175 0.2178 0.6162
0x80000169y, Canon EOS-1D Mark III, 0 0 0, 15100 15100 15100, 0.6291 -0.054 -0.0976 -0.835 1.6145 0.2311 -0.1714 0.1858 0.7326
0x80000190y, Canon EOS 40D, 0 0 0, 13600 13600 13600, 0.6071 -0.0747 -0.0856 -0.7653 1.5365 0.2441 -0.2025 0.2553 0.7315
0x80000215y, Canon EOS-1Ds Mark III, 0 0 0, 15100 15100 15100, 0.5859 -0.0211 -0.093 -0.8255 1.6017 0.2353 -0.1732 0.1887 0.7448
0x80000261y, Canon EOS 50D, 0 0 0, 15500 15500 15500, 0.492 0.0616 -0.0593 -0.6493 1.3964 0.2784 -0.1774 0.3178 0.7005
0x80000261y, Canon EOS 50D, 0 0 0, 15500 15500 15500, 0.492 0.0616 -0.0593 -0.6493 1.3964 0.2784 -0.1774 0.3178 0.7005
0x80000218y, Canon EOS 5D Mark II, 0 0 0, 16200 16200 16200, 0.4716 0.0603 -0.083 -0.7798 1.5474 0.248 -0.1496 0.1937 0.6651
0x80000218y, Canon EOS 5D Mark II, 0 0 0, 16200 16200 16200, 0.4716 0.0603 -0.083 -0.7798 1.5474 0.248 -0.1496 0.1937 0.6651
0x80000250y, Canon EOS 7D, 0 0 0, 11400 11400 11400, 0.6844 -0.0996 -0.0856 -0.3876 1.1761 0.2396 -0.0593 0.1772 0.6198
0x80000250y, Canon EOS 7D, 0 0 0, 11400 11400 11400, 0.6844 -0.0996 -0.0856 -0.3876 1.1761 0.2396 -0.0593 0.1772 0.6198
0x80000281y, Canon EOS-1D Mark IV, 0 0 0, 12000 12000 12000, 0.6014 -0.022 -0.0795 -0.4109 1.2014 0.2361 -0.0561 0.1824 0.5787
0x80000281y, Canon EOS-1D Mark IV, 0 0 0, 12000 12000 12000, 0.6014 -0.022 -0.0795 -0.4109 1.2014 0.2361 -0.0561 0.1824 0.5787
0x80000287y, Canon EOS 60D, 0 0 0, 13200 13200 13200, 0.6719 -0.0994 -0.0925 -0.4408 1.2426 0.2211 -0.0887 0.2129 0.6051
0x80000287y, Canon EOS 60D, 0 0 0, 13200 13200 13200, 0.6719 -0.0994 -0.0925 -0.4408 1.2426 0.2211 -0.0887 0.2129 0.6051
0x80000269y, Canon EOS-1D X, 0 0 0, 13000 13000 13000, 0.6847 -0.0614 -0.1014 -0.4669 1.2737 0.2139 -0.1197 0.2488 0.6846
0x80000269y, Canon EOS-1D X, 0 0 0, 13000 13000 13000, 0.6847 -0.0614 -0.1014 -0.4669 1.2737 0.2139 -0.1197 0.2488 0.6846
0x80000285y, Canon EOS 5D Mark III, 0 0 0, 13000 13000 13000, 0.6722 -0.0635 -0.0963 -0.4287 1.246 0.2028 -0.0908 0.2162 0.5668
0x80000285y, Canon EOS 5D Mark III, 0 0 0, 13000 13000 13000, 0.6722 -0.0635 -0.0963 -0.4287 1.246 0.2028 -0.0908 0.2162 0.5668
0x80000302y, Canon EOS 6D, 0 0 0, 13000 13000 13000, 0.7034 -0.0804 -0.1014 -0.442 1.2564 0.2058 -0.0851 0.1994 0.5758
0x80000302y, Canon EOS 6D, 0 0 0, 13000 13000 13000, 0.7034 -0.0804 -0.1014 -0.442 1.2564 0.2058 -0.0851 0.1994 0.5758
0x80000325y, Canon EOS 70D, 0 0 0, 11800 11800 11800, 0.7034 -0.0804 -0.1014 -0.442 1.2564 0.2058 -0.0851 0.1994 0.5758
0x80000325y, Canon EOS 70D, 0 0 0, 11800 11800 11800, 0.7034 -0.0804 -0.1014 -0.442 1.2564 0.2058 -0.0851 0.1994 0.5758
0x80000289y, Canon EOS 7D Mark II, 0 0 0, 12800 12800 12800, 0.7268 -0.1082 -0.0969 -0.4186 1.1839 0.2663 -0.0825 0.2029 0.5839
0x80000289y, Canon EOS 7D Mark II, 0 0 0, 12800 12800 12800, 0.7268 -0.1082 -0.0969 -0.4186 1.1839 0.2663 -0.0825 0.2029 0.5839
0x80000401y, Canon EOS 5DS R, 0 0 0, 13000 13000 13000, 0.625 -0.0711 -0.0808 -0.5153 1.2794 0.2636 -0.1249 0.2198 0.561
0x80000401y, Canon EOS 5DS R, 0 0 0, 13000 13000 13000, 0.625 -0.0711 -0.0808 -0.5153 1.2794 0.2636 -0.1249 0.2198 0.561
0x80000350y, Canon EOS 80D, 0 0 0, 10749 10749 10749, 0.7457 -0.0671 -0.0937 -0.4849 1.2495 0.2643 -0.1213 0.2354 0.5492
0x80000350y, Canon EOS 80D, 0 0 0, 10749 10749 10749, 0.7457 -0.0671 -0.0937 -0.4849 1.2495 0.2643 -0.1213 0.2354 0.5492
0x80000328y, Canon EOS-1D X Mark II, 0 0 0, 13898 13898 13898, 0.7596 -0.0978 -0.0967 -0.4808 1.2571 0.2503 -0.1398 0.2567 0.5752
0x80000328y, Canon EOS-1D X Mark II, 0 0 0, 13898 13898 13898, 0.7596 -0.0978 -0.0967 -0.4808 1.2571 0.2503 -0.1398 0.2567 0.5752
